Cihaz Bilgileri ve Katsayılar
Cihaz Adı	COM11
A	1,5047921588146342
B	0,08797159954176022
C	0,9822422168155338
R Kare	0,9994997087817052

Ölçüm Verileri
Gaz Konsantrasyonu	Gaz	Referans	Oran	Transmittans	Absorpsiyon	Tahmin Edilen Absorpsiyon	Tahmin Edilen Gaz Konsantrasyonu	Sıcaklık	Basınç	Nem
0,0	2,2181	2,5032	0,9231999999999999	0,9231999999999999	0,07613669528747491	0,06553915427754274	0,5846025465259609	25,81	1013,27	45,89
0,5	2,1333	2,5012	0,852910602910603	0,9238633047125251	0,07613669528747491	0,06553915427754274	0,5846025465259609	25,45	1013,31	45
1	2,041	2,508	0,8137958532695374	0,8814946417564314	0,11850535824356856	0,12672323493899515	0,9312354828272137	24,85	1013,32	41
1,5	1,893	2,5003	0,7571091469023716	0,8200922301802119	0,17990776981978807	0,1847758506596808	1,4571023547187467	24,3	1013,33	43
2	1,756	2,505	0,700998003992016	0,7593132625563431	0,24068673744365687	0,2400554595962534	2,005849579468047	25,49	1013,34	45
2,5	1,629	2,502	0,6510791366906475	0,7052416991883098	0,2947583008116902	0,2927879479316518	2,5191393873859713	25,15	1013,34	47
3	1,511	2,5033	0,6036032437182919	0,6538163385163475	0,34618366148365254	0,34314520694891326	3,030909950507346	26,42	1013,35	45
3,5	1,401	2,504	0,5595047923322684	0,6060493851086096	0,3939506148913904	0,3912698871426799	3,528523892557101	25,27	1013,35	45
4	1,3	2,5008	0,5198336532309661	0,5630780472605785	0,43692195273942147	0,4372860349371181	3,995955346844809	25,5	1013,45	45,3
4,5	1,205	2,5015	0,4817109734159504	0,5217839833361682	0,47821601666383184	0,4813045506641914	4,464188451793065	24,46	1013,36	48
5	1,1042	2,5019	0,44134457812062833	0,47805955169045533	0,5219404483095447	0,5234263441363348	4,981983682709911	25,04	1013,36	49
5,5	1,0042	2,502	0,40135891286970427	0,4347475226058322	0,5652524773941678	0,56374432582171	5,51913291074085	26,33	1013,37	45
