Sample;GasConcentration;Ref;Gas;Temperature;Pressure;Humidity;Ratio;Transmittance;Absorption;PredictedAbsorption;NR;NA;Span;NR_Comp;Span_Comp;FinalCompensatedConcentration
1,000;0,000;2,510;2,224;10,500;1013,000;44,000;;;;;;;;;;
2,000;0,500;2,509;2,130;11,200;1013,120;44,500;;;;;;;;;;
3,000;1,000;2,510;2,028;11,800;1013,150;45,000;;;;;;;;;;
4,000;1,500;2,511;1,875;12,100;1013,180;45,200;;;;;;;;;;
5,000;2,000;2,509;1,735;12,500;1013,200;45,500;;;;;;;;;;
6,000;2,500;2,509;1,605;13,000;1013,220;46,000;;;;;;;;;;
7,000;3,000;2,510;1,485;13,400;1013,250;45,800;;;;;;;;;;
8,000;3,500;2,509;1,372;13,800;1013,280;46,200;;;;;;;;;;
9,000;4,000;2,510;1,268;14,200;1013,300;46,500;;;;;;;;;;
10,000;4,500;2,510;1,170;14,500;1013,320;47,000;;;;;;;;;;
11,000;5,000;2,509;1,075;14,800;1013,350;47,200;;;;;;;;;;
12,000;5,500;2,510;0,985;15,000;1013,380;47,500;;;;;;;;;;
